ID,Age,Experience,Income,ZIP Code,Family,CCAvg,Education,Mortgage,Personal Loan,Securities Account,CD Account,Online,CreditCard
19,46,21,193,91604,2,8.1,3,0,1,0,0,0,0
132,58,34,149,93720,4,7.2,2,0,1,0,1,1,1
195,53,29,144,92697,2,6.8,1,0,0,0,0,1,0
197,48,24,165,93407,1,5.0,1,0,0,0,0,0,1
210,64,39,172,94707,4,3.1,1,282,1,0,1,1,1
214,57,33,155,91326,1,7.4,1,0,0,0,0,1,0
228,47,23,148,94551,2,7.5,1,0,0,0,1,1,1
244,65,39,170,90095,3,7.9,3,99,1,0,1,1,0
252,54,28,170,92182,2,6.2,2,325,1,0,0,1,0
302,65,39,150,92120,2,6.9,1,196,0,0,0,0,0
304,49,25,195,95605,4,3.0,1,617,1,0,0,0,0
325,56,30,158,90089,4,6.1,1,0,1,0,0,0,0
366,57,32,174,90089,1,6.8,2,466,1,0,0,1,0
423,46,20,145,91380,2,6.3,1,0,0,1,1,1,0
464,48,22,149,94928,2,5.5,2,0,1,1,1,1,0
483,56,32,173,94022,1,4.6,2,88,1,0,1,1,0
567,53,28,175,95060,3,3.6,3,0,1,0,1,1,1
571,49,25,161,94928,3,6.5,2,485,1,1,1,0,0
578,52,28,149,94043,2,6.8,1,0,0,0,0,1,0
597,48,22,152,94022,1,3.5,3,0,1,0,0,1,0
707,58,34,148,95819,1,4.7,1,0,0,0,0,1,0
737,61,35,152,91016,3,3.3,3,0,1,0,0,1,0
741,52,27,195,90266,1,8.1,1,0,0,0,0,0,0
773,54,28,165,92093,1,4.1,3,0,1,0,1,1,1
780,53,28,192,94304,2,6.4,3,0,1,0,0,0,0
782,56,32,158,94588,3,3.7,3,0,1,0,0,1,0
783,54,30,194,92056,3,6.0,3,587,1,1,1,1,1
786,46,22,164,94122,2,7.6,1,0,0,0,1,1,1
808,52,27,162,92096,1,8.1,1,0,0,0,0,1,0
836,58,33,142,92691,2,3.9,1,193,0,0,0,1,1
889,57,33,182,94114,2,3.3,3,372,1,0,0,0,0
897,50,24,161,95133,3,3.4,1,212,1,0,0,1,0
916,53,28,184,94550,1,8.1,1,303,0,0,0,1,0
941,61,36,193,94303,1,4.7,3,203,1,0,0,1,0
961,46,22,144,93611,2,3.3,1,0,0,0,0,1,1
984,46,22,142,92220,2,3.3,1,0,0,0,0,0,0
1009,50,24,152,92220,1,7.3,1,0,0,0,0,1,0
1039,56,30,145,95831,4,5.7,2,0,1,0,1,1,1
1051,53,27,145,90095,2,6.1,3,294,1,0,1,1,1
1080,54,30,145,94591,2,6.8,1,0,0,1,0,0,0
1085,60,35,191,93407,4,5.6,3,0,1,0,0,0,0
1150,56,32,158,91763,1,7.4,1,0,0,0,0,0,0
1207,63,37,165,95035,4,5.1,3,0,1,0,0,0,0
1305,51,26,145,90025,1,8.1,1,397,0,0,0,0,1
1329,60,36,145,95616,4,6.9,1,380,1,0,0,0,1
1340,52,25,180,94545,2,9.0,2,297,1,0,0,1,0
1403,55,29,172,95064,1,5.2,2,0,1,0,0,0,0
1406,46,22,183,91605,1,3.1,2,0,1,0,1,1,1
1412,65,39,184,91302,1,5.4,3,176,1,0,1,1,1
1419,65,41,154,92008,2,4.6,2,0,1,1,1,1,1
1445,60,33,154,90740,1,3.0,2,0,1,1,1,1,0
1448,52,28,145,94131,2,6.8,1,0,0,0,0,1,0
1479,65,39,160,94803,4,3.8,1,237,1,0,0,1,0
1496,52,28,178,92647,3,5.4,3,147,1,0,0,1,0
1542,61,35,154,92704,2,6.9,1,0,0,0,0,0,0
1593,56,31,192,90089,1,7.0,3,0,1,0,1,1,0
1630,53,29,154,93407,4,7.4,3,0,1,0,0,0,0
